使徒ID	参照HeroUID	戦闘力低学年係数	戦闘力高学年係数	戦闘力パッシブ係数	戦闘力アサイド係数	原HeroInfoアサイド係数	出典
Amelia	10014	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10014
Aya	10057	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10057
Alice	10013	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10013
Allet	10042	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10042
ED	10068	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10068
Ifrit	10002	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10002
Ui	10058	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10058
Vivi	10061	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10061
Ashur	10018	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10018
Espi	10037	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10037
Epica	10064	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10064
Erpin	10016	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10016
Elena	10019	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10019
Gabia	10025	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10025
Carren	10052	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10052
Canna	10026	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10026
Kidian	10021	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10021
Kyarot	10070	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10070
Kyuri	10053	0.005	0.005	0.005	0.7	0.0	sources/sep21/HeroInfo.json#/10053
Chloe	10056	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10056
Kommy	10003	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10003
Sari	10045	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10045
Sylla	10009	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10009
Shaydi	10023	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10023
Jade	10012	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10012
Sherum	10084	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10084
Joanne	10085	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10085
Xion	10055	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10055
Sist	10028	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10028
Shoupan	10069	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10069
Jubee	10036	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10036
Silphir	10035	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10035
Snorky	10081	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10081
Speaki	10008	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10008
Selene	10063	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10063
Daya	10001	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10001
Taida	10043	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10043
Chopi	10049	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10049
Diana	10024	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10024
Tig	10041	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10041
Naia	10005	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10005
Ner	10006	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10006
Butter	10029	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10029
Patula	10051	0.005	0.005	0.005	0.7	0.0	sources/sep21/HeroInfo.json#/10051
Barie	10080	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10080
Barong	10079	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10079
Picora	10066	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10066
BigWood	10011	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10011
Pira	10082	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10082
Hilde	10062	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10062
Festa	10030	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10030
Blanchet	10067	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10067
Fricle	10020	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10020
Haley	10076	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10076
Beni	10027	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10027
Belita	10015	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10015
Veroo	10046	0.005	0.005	0.005	0.7	0.0	sources/sep21/HeroInfo.json#/10046
Velvet	10010	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10010
Posher	10034	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10034
Mago	10038	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10038
MaestroMK2	10004	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10004
