分類	表示名	内部キー	別名	用途	値の扱い	メモ
基礎補正	HP	hpP	最大HP;最大HP増加	カード効果;はんだ効果;特殊効果	percent	基礎ステータス側のHP%補正。
基礎補正	攻撃力	atkP	攻撃;攻撃増加;攻撃力増加;物理攻撃力増加;魔法攻撃力増加	カード効果;はんだ効果;特殊効果	percent	カード側では物理/魔法を分けず攻撃力%として扱う。スキル由来で物理/魔法指定がある場合は別処理候補。
基礎補正	防御力	defP	防御;防御増加;防御力増加;物理防御力増加;魔法防御力増加	カード効果;はんだ効果;特殊効果	percent	カード側では物理/魔法を分けず防御力%として扱う。
基礎補正	攻撃速度	hasteP	攻速;攻撃速度増加	カード効果;はんだ効果;特殊効果	percent	攻撃速度%補正。
基礎補正	会心率	critRateP	会心;会心アップ;会心増加;会心率増加	カード効果;はんだ効果;特殊効果	percent	会心ステータスではなく、実会心率に加算するカード系の会心率。会心ステータス補正とは混同注意。
基礎補正	会心ダメージ量	critDmgP	会心DMG;会心DMG増加;会心ダメージ量増加;会心ダメージ増加	カード効果;はんだ効果;特殊効果	percent	会心DMG倍率側に加算するカード系補正。スキルの会心DMGステータス補正とは混同注意。
基礎補正	被会心率減少	critResP	会心抵抗;会心抵抗増加;被会心率;被会心率減少	カード効果;はんだ効果;特殊効果	percent	敵から受ける会心率を下げるカード系補正。会心抵抗ステータス補正とは混同注意。
基礎補正	会心被ダメージ量減少	critDmgResP	会心DMG抵抗;会心DMG抵抗増加;被会心ダメージ量減少;会心被ダメージ量減少	カード効果;はんだ効果;特殊効果	percent	敵から受ける会心DMG倍率を下げるカード系補正。会心DMG抵抗ステータス補正とは混同注意。
基礎補正	HP治癒量	healingP	HP治癒;HP治癒量;着用者のHP治癒量	カード効果;はんだ効果;特殊効果	percent	HP治癒量%補正。
回復補正	HP回復量	hpRecoveryP	HP回復;HP回復量;ヒール量	カード効果;はんだ効果;特殊効果	percent	既存cards.jsではhpRecoveryP。実計算に乗せる場合は回復計算側で扱う。
SP補正	SP回復	spRecoveryP	SP回復;SP回復量	特殊効果	by_value_class	倍率はspRecoveryP、固定値は生成時にspRecoveryへ変換する。
SP補正	毎秒SP回復量増加	spRegenP	毎秒SP;毎秒SP回復;毎秒SP回復量;毎秒SP回復量増加	特殊効果	by_value_class	倍率はspRegenP、固定値は生成時にspRegenへ変換する。フォロー補正は乗せない。
SP補正	SP	spP	SP増加;最大SP	特殊効果	percent	SP最大値/関連補正候補。用途未確定なら要確認。
ダメージ補正	与ダメージ増加	addP	与ダメージ上昇;与ダメージ増加;ダメージ増加;スキルダメージ;普通攻撃ダメージ;強化攻撃ダメージ;状態異常ダメージ	特殊効果	percent	条件一致時に与ダメージ倍率へ加算。攻撃側で有効。
ダメージ補正	被ダメージ減少	takenDmgP	被ダメージ減少;受けるダメージ減少;同列被ダメ減	特殊効果	percent	防御側で有効。ダメージが減る方向が有利。
ダメージ補正	敵防御力減少	enemyDefDownP	敵防御減;敵防御力減少;防御力減少	特殊効果	percent	攻撃側から敵防御を下げる補正。
ダメージ補正	特殊	specialP	特殊補正;特殊ダメージ	特殊効果	percent	汎用特殊枠。使途が曖昧な場合の仮置き。
防御/耐久	シールド付与	shieldP	シールド;シールド付与	特殊効果	percent_or_value	最大HP参照など参照列と組み合わせて扱う。
防御/耐久	シールド効果増加	shieldEffectP	シールド効果;シールド効果増加	特殊効果	percent	シールド量増加。
状態異常	毒	poison	毒;毒状態	特殊効果	state	状態付与。毒の与ダメージ減少は別途デバフとして扱う可能性あり。
状態異常	毒持続時間	poisonDuration	毒持続時間	特殊効果	duration	怪しいポーションなど、星で持続時間が変動する効果。
状態異常	目くらまし	blind	目くらまし	特殊効果	state	状態付与。命中/被弾への影響は未確定ならinfo扱い。
状態異常	デバフ抵抗効果	debuffResistP	デバフ抵抗;デバフ抵抗効果	特殊効果	percent	デバフ抵抗系。計算反映は用途確認。
リソース	コイン獲得	coin	コイン;コイン獲得;コイン値	特殊効果	value	編成コスト/所持コインとは別の戦闘中コイン効果。
クールタイム	クールタイム	cooldownSec	クールタイム;高学年スキルCT	特殊効果	seconds	ダメージ式に直接乗せず、スキル表示/回転率用。
クールタイム	クールタイム	cooltime	クールタイム;高学年スキルCT	特殊効果	seconds	ダメージ式に直接乗せず、スキル表示/回転率用。
回数/スタック	最大スタック数	maxStack	最大スタック;最大スタック数	特殊効果	count	スタック上限。単独では補正ではない。
回数/スタック	スタック数	stackCount	スタック;スタック数	特殊効果	count	スタック値。条件付き効果の補助値。
回数/スタック	回数	count	回数;発動回数	特殊効果	count	発動回数やヒット回数。
時間	持続時間	durationSec	持続時間	特殊効果	seconds	効果時間。星で変動する場合あり。
学年	学年+	gradePlus	学年+;学年増加	特殊効果	count	一時的な学年補正。基礎ステータス再計算が必要。
性格判定	狂気性格判定+1	personalityMadnessPlus	狂気+1;狂気性格+1	特殊効果	count	性格シナジー判定を+1。同種カード複数時の非スタック注意。
性格判定	活発性格判定+1	personalityVivaciousPlus	活発+1;活発性格+1	特殊効果	count	性格シナジー判定を+1。同種カード複数時の非スタック注意。
性格判定	純粋性格判定+1	personalityPurePlus	純粋+1;純粋性格+1	特殊効果	count	性格シナジー判定を+1。同種カード複数時の非スタック注意。
性格判定	憂鬱性格判定+1	personalityGloomyPlus	憂鬱+1;憂鬱性格+1	特殊効果	count	性格シナジー判定を+1。同種カード複数時の非スタック注意。
性格判定	冷静性格判定+1	personalityCoolPlus	冷静+1;冷静性格+1	特殊効果	count	性格シナジー判定を+1。同種カード複数時の非スタック注意。
参照	最大HP	refMaxHp	最大HP	参照	ref	シールド/回復などの参照元。
参照	対象の最大HP	refTargetMaxHp	対象の最大HP	参照	ref	対象側の最大HP参照。
