level	next_exp	resource_id	status	note
1	60	mocharon	confirmed	
2	71	mocharon	confirmed	
3	130	mocharon	confirmed	
4	187	mocharon	confirmed	
5	246	mocharon	confirmed	
6	303	mocharon	confirmed	
7	362	mocharon	confirmed	
8	420	mocharon	confirmed	
9	477	mocharon	confirmed	
10	536	mocharon	confirmed	
11	594	mocharon	confirmed	
12	652	mocharon	confirmed	
13	711	mocharon	confirmed	
14	768	mocharon	confirmed	
15	826	mocharon	confirmed	
16	885	mocharon	confirmed	
17	942	mocharon	confirmed	
18	1001	mocharon	confirmed	
19	1058	mocharon	confirmed	
20	1117	mocharon	confirmed	
21	1175	mocharon	confirmed	
22	1233	mocharon	confirmed	
23	1291	mocharon	confirmed	
24	1349	mocharon	confirmed	
25	1426	mocharon	confirmed	
26	1484	mocharon	confirmed	
27	1541	mocharon	confirmed	
28	1598	mocharon	confirmed	
29	1656	mocharon	confirmed	
30	1714	mocharon	confirmed	
31	1771	mocharon	confirmed	
32	1828	mocharon	confirmed	
33	1886	mocharon	confirmed	
34	1943	mocharon	confirmed	
35	2000	mocharon	confirmed	
36	2058	mocharon	confirmed	
37	2116	mocharon	confirmed	
38	2172	mocharon	confirmed	
39	2231	mocharon	confirmed	
40	2287	mocharon	confirmed	
41	2345	mocharon	confirmed	
42	2403	mocharon	confirmed	
43	2460	mocharon	confirmed	
44	2517	mocharon	confirmed	
45	2575	mocharon	confirmed	
46	2632	mocharon	confirmed	
47	2689	mocharon	confirmed	
48	2747	mocharon	confirmed	
49	2805	mocharon	confirmed	
50	4162	mocharon	confirmed	
51	5166	mocharon	confirmed	
52	6168	mocharon	confirmed	
53	7172	mocharon	confirmed	
54	8175	mocharon	confirmed	
55	9179	mocharon	confirmed	
56	10181	mocharon	confirmed	
57	11185	mocharon	confirmed	
58	12188	mocharon	confirmed	
59	13191	mocharon	confirmed	
60	14194	mocharon	confirmed	
61	15198	mocharon	confirmed	
62	16200	mocharon	confirmed	
63	17204	mocharon	confirmed	
64	18207	mocharon	confirmed	
65	19211	mocharon	confirmed	
66	20213	mocharon	confirmed	
67	21217	mocharon	confirmed	
68	22220	mocharon	confirmed	
69	23223	mocharon	confirmed	
70	24226	mocharon	confirmed	
71	25230	mocharon	confirmed	
72	26233	mocharon	confirmed	
73	27236	mocharon	confirmed	
74	28239	mocharon	confirmed	
75	36904	mocharon	confirmed	
76	37743	mocharon	confirmed	
77	38580	mocharon	confirmed	
78	39419	mocharon	confirmed	
79	40257	mocharon	confirmed	
80	41096	mocharon	confirmed	
81	41933	mocharon	confirmed	
82	42772	mocharon	confirmed	
83	43610	mocharon	confirmed	
84	44448	mocharon	confirmed	
85	45286	mocharon	confirmed	
86	46125	mocharon	confirmed	
87	46962	mocharon	confirmed	
88	47801	mocharon	confirmed	
89	48639	mocharon	confirmed	
90	49478	mocharon	confirmed	
91	50315	mocharon	confirmed	
92	51154	mocharon	confirmed	
93	51992	mocharon	confirmed	
94	52830	mocharon	confirmed	
95	53668	mocharon	confirmed	
96	54507	mocharon	confirmed	
97	55345	mocharon	confirmed	
98	56183	mocharon	confirmed	
99	57021	mocharon	confirmed	
100	8796	mocharon	boundary-check	Lv100→101の資源境界は要検証
101	8869	puffaron	confirmed	
102	8957	puffaron	confirmed	
103	9045	puffaron	confirmed	
104	9134	puffaron	confirmed	
105	9221	puffaron	confirmed	
106	9309	puffaron	confirmed	
107	9397	puffaron	confirmed	
108	9485	puffaron	confirmed	
109	9573	puffaron	confirmed	
110	14499	puffaron	confirmed	
111	14586	puffaron	confirmed	
112	14719	puffaron	confirmed	
113	14851	puffaron	confirmed	
114	14982	puffaron	confirmed	
115	15115	puffaron	confirmed	
116	15246	puffaron	confirmed	
117	15378	puffaron	confirmed	
118	15511	puffaron	confirmed	
119	15642	puffaron	confirmed	
120	25230	puffaron	confirmed	
121	26461	puffaron	confirmed	
122	26681	puffaron	confirmed	
123	26901	puffaron	confirmed	
124	27121	puffaron	confirmed	
125	27234	puffaron	confirmed	
126	32016	puffaron	confirmed	
127	32381	puffaron	confirmed	
128	32638	puffaron	confirmed	
129	32894	puffaron	confirmed	
130	33151	puffaron	confirmed	
131		puffaron	unknown	Wiki掲載値なし
132		puffaron	unknown	Wiki掲載値なし
133		puffaron	unknown	Wiki掲載値なし
134		puffaron	unknown	Wiki掲載値なし
135		puffaron	unknown	Wiki掲載値なし
136		puffaron	unknown	Wiki掲載値なし
137		puffaron	unknown	Wiki掲載値なし
138		puffaron	unknown	Wiki掲載値なし
139		puffaron	unknown	Wiki掲載値なし
140		puffaron	unknown	Wiki掲載値なし
141		puffaron	unknown	Wiki掲載値なし
142		puffaron	unknown	Wiki掲載値なし
143		puffaron	unknown	Wiki掲載値なし
144		puffaron	unknown	Wiki掲載値なし
145		puffaron	unknown	Wiki掲載値なし
