rank_from	rank_to	tier	HP	攻撃力	防御力	会心系
1	2	1	2311	245	490	367
1	2	2	3294	272	544	408
1	2	3	4278	298	597	447
1	2	4	5263	325	651	487
1	2	5	6246	352	705	528
2	3	1	3306	351	701	525
2	3	2	4715	389	778	582
2	3	3	6121	427	854	639
2	3	4	7530	466	931	697
2	3	5	8938	504	1008	754
3	4	1	4731	501	1003	750
3	4	2	6745	556	1112	832
3	4	3	8759	611	1222	914
3	4	4	10775	666	1333	996
3	4	5	12789	721	1442	1079
4	5	1	6769	716	1434	1073
4	5	2	9652	795	1591	1191
4	5	3	12535	873	1748	1307
4	5	4	15419	953	1906	1425
4	5	5	18301	1031	2063	1543
5	6	1	9678	1023	2050	1533
5	6	2	13799	1136	2275	1700
5	6	3	17919	1248	2499	1868
5	6	4	22041	1361	2725	2037
5	6	5	26163	1473	2949	2205
6	7	1	13831	1462	2930	2191
6	7	2	19720	1623	3251	2429
6	7	3	25608	1783	3571	2670
6	7	4	31498	1945	3894	2911
6	7	5	37389	2105	4214	3151
7	8	1	19760	2089	4186	3130
7	8	2	28174	2319	4645	3470
7	8	3	36586	2547	5102	3815
7	8	4	45001	2779	5563	4159
7	8	5	53417	3007	6020	4502
8	9	1	28223	2984	5979	4470
8	9	2	40240	3312	6634	4956
8	9	3	52255	3638	7287	5449
8	9	4	64274	3969	7945	5940
8	9	5	76294	4295	8598	6430
