oldCardId	newCardId	oldEffectId	newEffectId
relic_yomi_flower	artifact_yomi_moonflower	same_lane_taken_reduction	artifact_yomi_moonflower_e01
relic_yomi_flower	artifact_yomi_moonflower	magic_attack_power_up	artifact_yomi_moonflower_e02
relic_elfin_ice_cake	artifact_erpin_ice_cream_cake	zero_kill_magic_damage	artifact_erpin_ice_cream_cake_e01
relic_butter_yellow_card	artifact_butter_yellow_card	enhanced_attack_damage	artifact_butter_yellow_card_e01
relic_vivi_baton	artifact_vivi_silver_staff	normal_stack_defense	artifact_vivi_silver_staff_e01
relic_vivi_baton	artifact_vivi_silver_staff	max_stack	artifact_vivi_silver_staff_e02
relic_vivi_baton	artifact_vivi_silver_staff	max_stack_defense	artifact_vivi_silver_staff_e03
relic_vivi_baton	artifact_vivi_silver_staff	max_stack_hp	artifact_vivi_silver_staff_e04
relic_elena_drone	artifact_elena_enhanced_drone	low_grade_skill_haste	artifact_elena_enhanced_drone_e01
relic_ritz_whetstone	artifact_leets_worn_whetstone	normal_attack_taken_reduction	artifact_leets_worn_whetstone_e01
relic_ritz_whetstone	artifact_leets_worn_whetstone	normal_twice_heal	artifact_leets_worn_whetstone_e02
relic_blanse_bouquet	artifact_blanchet_bouquet	low_grade_magic_def_down	artifact_blanchet_bouquet_e01
relic_blanse_bouquet	artifact_blanchet_bouquet	max_stack	artifact_blanchet_bouquet_e02
relic_picola_pouch	artifact_picora_fashion_pouch	target_defense_up	artifact_picora_fashion_pouch_e01
relic_shion_black_cloak	artifact_xion_black_cape	single_enemy_damage_up	artifact_xion_black_cape_e01
relic_naia_watergun	artifact_naia_dolphin_watergun	after_skill_healing_up	artifact_naia_dolphin_watergun_e01
relic_naia_watergun	artifact_naia_dolphin_watergun	cool_time	artifact_naia_dolphin_watergun_e02
relic_shupan_backpack	artifact_shoupan_magical_backpack	same_lane_taken_reduction	artifact_shoupan_magical_backpack_e01
relic_shupan_backpack	artifact_shoupan_magical_backpack	cool_time	artifact_shoupan_magical_backpack_e02
relic_snoky_fedora	artifact_snorky_fedora	hp50_max_hp_up	artifact_snorky_fedora_e01
relic_snoky_fedora	artifact_snorky_fedora	hp50_max_def_up	artifact_snorky_fedora_e02
relic_serine_night_mirage	artifact_selene_midnight_mirage	skill_self_recover	artifact_selene_midnight_mirage_e01
relic_serine_night_mirage	artifact_selene_midnight_mirage	skill_self_shield	artifact_selene_midnight_mirage_e02
relic_carrot_cane	artifact_kyarot_sugarcane	same_lane_sp_recover	artifact_kyarot_sugarcane_e01
relic_chloe_sewing_chest	artifact_chloe_sewing_chest	shield_taken_reduction	artifact_chloe_sewing_chest_e01
relic_listy_replica_glove	artifact_risty_replica_glove	normal_attack_6_crit_rate_up	artifact_risty_replica_glove_e01
relic_barong_cursed_doll	artifact_barong_cursed_doll	target_debuff_enhanced_attack_damage	artifact_barong_cursed_doll_e01
relic_tig_blazing_sword	artifact_tig_blazing_sword	normal_attack_3_haste	artifact_tig_blazing_sword_e01
