oldId	newId
relic_yomi_flower	artifact_yomi_moonflower
relic_elfin_ice_cake	artifact_erpin_ice_cream_cake
relic_butter_yellow_card	artifact_butter_yellow_card
relic_vivi_baton	artifact_vivi_silver_staff
relic_elena_drone	artifact_elena_enhanced_drone
relic_ritz_whetstone	artifact_leets_worn_whetstone
relic_blanse_bouquet	artifact_blanchet_bouquet
relic_picola_pouch	artifact_picora_fashion_pouch
relic_shion_black_cloak	artifact_xion_black_cape
relic_naia_watergun	artifact_naia_dolphin_watergun
relic_shupan_backpack	artifact_shoupan_magical_backpack
relic_snoky_fedora	artifact_snorky_fedora
relic_serine_night_mirage	artifact_selene_midnight_mirage
relic_carrot_cane	artifact_kyarot_sugarcane
relic_chloe_sewing_chest	artifact_chloe_sewing_chest
relic_listy_replica_glove	artifact_risty_replica_glove
relic_barong_cursed_doll	artifact_barong_cursed_doll
relic_tig_blazing_sword	artifact_tig_blazing_sword
relic_rudd_exercise_manual	artifact_rudd_exercise_manual
relic_rollett_magic_hat	artifact_rollett_magic_hat
relic_dragon_sword	artifact_dragonlight_sword
relic_life_gem	artifact_life_gem
relic_30kg_kettlebell	artifact_30kg_kettlebell
relic_nisril_knife	artifact_mithril_knife
relic_fuwafuwa_vest	artifact_fluffy_vest
relic_eldain_lamp	artifact_eldyne_lamp
relic_assassin_book	artifact_assassin_scroll
relic_sword_staff	artifact_sword_and_staff
relic_safety_belt	artifact_safety_harness
relic_battle_manual	artifact_combat_manual
relic_blue_grimoire	artifact_jade_codex
relic_scale_armor	artifact_scale_armor
relic_blessed_pauldron	artifact_blessed_pauldrons
relic_origin_grail	artifact_chalice_of_origins
relic_high_priest_censer	artifact_grail_of_origins
relic_madness_mask	artifact_fanatic_mask
relic_healing_pendant	artifact_healing_pendant
relic_obsidian_shuriken	artifact_obsidian_shuriken
relic_greed_ring	artifact_ring_of_greed
relic_oldwood_dagger	artifact_old_wooden_dagger
relic_elf_staff	artifact_elven_wand
relic_gem_ring	artifact_gemstone_ring
relic_thorn_crown	artifact_crown_of_thorns
relic_old_arrow	artifact_weathered_arrow
relic_frost_charm	artifact_icy_charm
relic_furoshiki_robe	artifact_cotton_cloak
relic_shining_tiara	artifact_shining_tiara
relic_cardboard_armor	artifact_cardboard_armor
relic_head_towel	artifact_head_wrap
relic_rusty_awl	artifact_rusty_awl
spell_alice_hex	spell_alice_fake_magic
spell_epica_anthem	spell_epica_hero_exaltation
spell_yiide_dream	spell_luc_ed_dream
spell_renewa_time_paradox	spell_renewa_time_paradox
spell_beauty_is_sin	spell_fatal_charm
spell_suspicious_potion	spell_strange_elixir
spell_battle_master	spell_combat_master
spell_aromatherapy	spell_aroma_therapy
spell_motivation_up	spell_cheer_up
spell_caring	spell_warm_hearted
spell_center_best	spell_stealth_slacker
spell_frontline	spell_vanguard
spell_backline	spell_rear_guard
spell_personality_madness	spell_personality_mad
spell_personality_lively	spell_personality_vivacious
spell_personality_pure	spell_personality_innocent
spell_personality_gloomy	spell_personality_depressed
spell_personality_calm	spell_personality_composed
spell_speedy_movement	spell_swift_move
spell_firm_conviction	spell_firm_belief
spell_critical_strike	spell_fatal_blow
spell_hp_training	spell_keeping_fit
spell_bulletproof	spell_bulletproof
spell_health_best	spell_robust_health
spell_afterimage	spell_where_you_lookin
spell_personal_training	spell_personal_training
spell_you_can_do_it	spell_empower
spell_apprentice_mage	spell_wizard_apprentice
spell_catch_him	spell_get_her
spell_random_coin	spell_random_coin
spell_tree_bark	spell_big_tree_bark
spell_rookie_fighter	spell_trainee
spell_soda_capsule	spell_soda_capsule
spell_strawberry_capsule	spell_strawberry_capsule
