状態効果ID	成分番号	値の種類	値分類	効果タイプ	条件	効果対象	参照	固定値	単位	スタック反映	攻撃タイプ	状態異常間隔秒	会心可否	最小倍率	最大倍率	計算対応	検証状態	備考
giant	1	攻撃速度	倍率	バフ		本人	付与元		%	乗算						対応	要検証	
giant	2	与ダメージ	倍率	バフ		本人	付与元		%	乗算						対応	要検証	
swift_ruse	1	ターゲット可否	状態変更	バフ	他の味方が存在	本人		0	可否	なし						未対応	要検証	敵の目標にならない
shield	1	シールド	最大HP割合	バフ		付与対象	付与元		%	個別耐久						未対応	一部検証済	物理・魔法の対象範囲は付与元側で指定
very_healthy	1	攻撃速度	倍率	バフ		本人	付与元		%	乗算						対応	要検証	
invincible	1	被ダメージ	無効	バフ		本人		0	可否	なし						未対応	一部検証済	
invincible	2	状態異常	無効	バフ		本人		0	可否	なし						未対応	一部検証済	バフ解除は無効化しない
trickery	1	ターゲット可否	状態変更	バフ	他の味方が存在	本人		0	可否	なし						未対応	要検証	敵の目標にならない
atk_up	1	攻撃力	倍率	バフ		付与対象	付与元		%	付与元依存						対応	要検証	
phys_atk_up	1	物理攻撃力	倍率	バフ		付与対象	付与元		%	付与元依存						対応	要検証	
mag_atk_up	1	魔法攻撃力	倍率	バフ		付与対象	付与元		%	付与元依存						対応	要検証	
def_up	1	防御力	倍率	バフ		付与対象	付与元		%	付与元依存						対応	要検証	
mag_def_up	1	魔法防御力	倍率	バフ		付与対象	付与元		%	付与元依存						対応	要検証	
crit_rate_up	1	会心率	直接加算	バフ		付与対象	付与元		%pt	付与元依存						対応	要検証	会心ステータス加算ではない
crit_dmg_amount_up	1	会心DMG量	直接加算	バフ		付与対象	付与元		%pt	付与元依存						対応	要検証	最終会心DMG倍率へ加算
outgoing_dmg_up	1	与ダメージ	倍率	バフ		付与対象	付与元		%	付与元依存				0.2		対応	要検証	ダメージ量倍率グループ
