状態効果ID	表示名	英語名	分類	解除区分	アイコン分類	タグ	最大スタック	スタック方式	スタック集約範囲	持続更新方式	ボス有効	計算対応段階	検証状態	発動条件状態効果ID	条件スタック参照	備考	出典URL
giant	巨大化	Giant	バフ	解除可能	青	固有/攻撃速度/与ダメージ			付与元単位	付与元依存		一部対応	要検証			コミー固有。攻撃速度と与ダメージ量が増加	https://wikiwiki.jp/thetrickal/戦闘システム
swift_ruse	才気煥発	Swift Ruse	バフ	解除可能	青	固有/対象外			付与元単位	付与元依存		表示のみ	要検証			モモ固有。後方移動し敵の目標にならない	https://wikiwiki.jp/thetrickal/戦闘システム
shield	シールド	Shield	バフ	解除可能	青	シールド		個別耐久	対象単位	個別管理		将来対応	一部検証済			複数枚を別々の耐久値として保持。魔法ダメージのみ肩代わりする派生あり	https://wikiwiki.jp/thetrickal/戦闘システム
very_healthy	とても健康になった！	Becoming So Healthy!	バフ	解除可能	青	固有/攻撃速度			付与元単位	付与元依存		一部対応	要検証			ヒルデ固有	https://wikiwiki.jp/thetrickal/戦闘システム
invincible	無敵	Invincible	バフ	解除可能	青	無敵/免疫	1	非スタック	対象単位	上書き		将来対応	一部検証済			全ダメージと状態異常を無効化するがバフ解除は受ける	https://wikiwiki.jp/thetrickal/戦闘システム
trickery	目くらまし	Trickery	バフ	解除可能	青	対象外	1	非スタック	対象単位	上書き		表示のみ	要検証			他の味方がいる間は敵の攻撃目標にならない	https://wikiwiki.jp/thetrickal/戦闘システム
atk_up	攻撃力の増加割合	Increased ATK Percentage	バフ	解除可能	青	ステータス/攻撃力			付与元依存	付与元依存		対応	要検証			物理・魔法共通の攻撃力%	https://wikiwiki.jp/thetrickal/戦闘システム
phys_atk_up	物理攻撃力の増加割合	Increased Physical ATK Percentage	バフ	解除可能	青	ステータス/物理攻撃力			付与元依存	付与元依存		対応	要検証			物理攻撃力のみ	https://wikiwiki.jp/thetrickal/戦闘システム
mag_atk_up	魔法攻撃力の増加割合	Increased Magical ATK Percentage	バフ	解除可能	青	ステータス/魔法攻撃力			付与元依存	付与元依存		対応	要検証			魔法攻撃力のみ。Wiki戦闘中説明は物理攻撃力と誤記	https://wikiwiki.jp/thetrickal/戦闘システム
def_up	防御力の増加割合	Increased DEF Percentage	バフ	解除可能	青	ステータス/防御力			付与元依存	付与元依存		対応	要検証			物理・魔法共通の防御力%	https://wikiwiki.jp/thetrickal/戦闘システム
